Region,Sales,Quarter
North,18917,Q3
North,18375,Q2
North,16103,Q3
South,13000,Q3
East,22807,Q3
South,49368,Q4
North,45121,Q4
North,15363,Q2
North,18026,Q2
East,11791,Q4
South,33014,Q2
East,30837,Q2
East,14209,Q3
South,45906,Q1
West,32222,Q2
West,31552,Q2
East,40909,Q3
South,28521,Q3
East,36489,Q4
East,48166,Q4
East,33848,Q2
South,27082,Q2
South,39555,Q4
East,40924,Q4
West,45549,Q3
East,27247,Q2
West,30657,Q1
East,45730,Q1
West,19744,Q4
West,46603,Q3
South,46620,Q2
South,45275,Q3
South,43004,Q3
North,20194,Q2
South,41721,Q1
West,35067,Q4
West,37407,Q3
East,48298,Q1
West,44817,Q2
East,32204,Q1
East,32809,Q4
West,39189,Q1
East,18935,Q4
South,28605,Q2
North,18445,Q2
South,38265,Q1
North,23689,Q1
East,27063,Q2
North,47158,Q4
North,10426,Q2
East,14099,Q4
East,13549,Q1
West,24937,Q2
South,26553,Q2
East,26803,Q3
South,41287,Q3
South,17701,Q2
West,27021,Q1
West,20366,Q1
West,25928,Q4
North,21074,Q1
North,48169,Q1
South,35439,Q2
East,35177,Q3
West,11802,Q2
North,25929,Q3
West,28581,Q2
West,47550,Q2
West,31532,Q2
North,44912,Q3
South,12698,Q2
North,20381,Q4
East,35667,Q4
North,23251,Q3
West,46880,Q4
North,39244,Q3
East,28904,Q4
North,34304,Q3
East,31616,Q4
West,34717,Q3
East,40722,Q1
North,41723,Q3
North,16983,Q4
West,12391,Q1
South,47274,Q4
East,37838,Q4
East,42412,Q3
South,39954,Q3
West,29930,Q3
North,34568,Q3
East,32899,Q1
East,16745,Q3
North,14297,Q1
West,19183,Q1
South,49471,Q3
South,40573,Q4
North,22677,Q2
South,22970,Q3
North,36053,Q3
South,22786,Q3
East,24633,Q2
West,40453,Q3
North,29378,Q4
West,15536,Q1
East,38057,Q2
North,11082,Q1
East,22460,Q4
North,32253,Q1
North,28155,Q1
North,38693,Q3
South,11146,Q2
West,10186,Q3
East,11278,Q4
North,37409,Q1
West,42498,Q1
West,46128,Q4
North,26785,Q3
South,11236,Q4
North,37275,Q1
North,45285,Q4
South,21725,Q3
East,35958,Q4
North,21135,Q1
South,39307,Q4
North,33734,Q4
West,29373,Q2
South,18361,Q3
South,21694,Q3
North,28806,Q2
East,10178,Q3
South,28949,Q1
South,46517,Q3
South,24614,Q3
West,20190,Q1
East,18019,Q4
North,29983,Q4
North,22668,Q1
West,42011,Q1
South,35269,Q1
South,39337,Q2
West,41275,Q2
North,20531,Q4
North,26048,Q3
East,36838,Q2
North,42322,Q2
South,11916,Q3
West,12508,Q4
South,25124,Q4
West,19391,Q1
East,29557,Q2
West,34376,Q3
East,46640,Q3
North,14717,Q4
North,40240,Q4
South,34905,Q3
South,16526,Q3
South,35709,Q4
South,46204,Q1
West,14335,Q3
West,25125,Q2
South,41935,Q3
North,43621,Q1
South,20893,Q1
East,47552,Q4
East,32001,Q2
West,16508,Q4
North,27113,Q2
North,24674,Q2
West,39741,Q4
North,20701,Q2
North,28283,Q2
North,21499,Q1
South,37672,Q2
South,35697,Q1
North,22052,Q3
West,20334,Q2
West,26508,Q3
South,26090,Q3
North,37150,Q2
North,25378,Q2
South,18653,Q1
South,12114,Q1
East,19608,Q2
East,34629,Q4
West,12958,Q2
South,13151,Q2
North,26611,Q3
North,39722,Q1
North,22404,Q2
North,38602,Q3
South,16186,Q1
South,10377,Q2
North,47371,Q2
North,23102,Q3
North,19485,Q1
North,16092,Q1
North,35748,Q4
South,41494,Q2
North,38802,Q2
South,26629,Q3
North,11592,Q4
North,41586,Q3
East,34032,Q3
West,47608,Q3
South,21941,Q3
East,20406,Q3
South,20955,Q3
West,49735,Q4
West,15676,Q4
North,20711,Q3
East,44329,Q2
East,48288,Q4
South,36245,Q1
North,37513,Q4
South,39962,Q2
North,37850,Q2
South,25428,Q4
South,23247,Q2
West,13025,Q2
South,19148,Q1
South,44809,Q3
West,26663,Q4
East,31901,Q3
North,11190,Q3
North,35567,Q3
West,31095,Q3
North,13239,Q4
West,43797,Q1
East,22657,Q3
West,15040,Q2
West,11631,Q1
North,42841,Q2
East,44952,Q1
East,34579,Q1
South,29915,Q1
South,30269,Q2
South,14504,Q2
West,24002,Q4
East,10908,Q4
North,38831,Q2
North,27084,Q3
East,18524,Q4
North,16529,Q2
West,22646,Q2
West,35304,Q3
North,37162,Q1
South,16235,Q1
South,46155,Q2
South,32834,Q3
East,20084,Q4
West,49961,Q1
South,42980,Q1
North,31966,Q4
West,11597,Q3
North,11196,Q1
North,19181,Q4
North,21056,Q2
West,31839,Q3
North,39616,Q1
South,11167,Q1
West,48557,Q2
East,21470,Q4
South,13979,Q2
West,10790,Q1
West,10713,Q2
South,22667,Q1
South,18218,Q3
East,47583,Q4
North,33109,Q3
North,45935,Q1
South,39601,Q4
East,25776,Q3
West,48459,Q4
East,26099,Q4
East,23004,Q1
East,44137,Q2
West,25960,Q2
North,49349,Q1
South,40843,Q3
West,14848,Q2
North,38156,Q3
East,34348,Q4
East,32005,Q4
South,27513,Q2
East,20282,Q4
East,23631,Q2
West,19181,Q2
North,18901,Q1
South,27838,Q2
West,12506,Q2
West,43443,Q3
East,42163,Q2
South,39115,Q4
South,29699,Q1
East,43686,Q4
North,19637,Q1
North,38964,Q1
North,24212,Q3
West,39333,Q1
West,45320,Q2
East,16624,Q3
East,41310,Q2
East,35608,Q2
East,47289,Q1
West,30123,Q2
East,48669,Q4
North,36686,Q3
North,35416,Q4
East,39858,Q2
South,31741,Q1
South,36251,Q3
North,16860,Q1
South,34519,Q1
East,35262,Q1
North,45236,Q4
North,14020,Q2
West,14595,Q1
West,20119,Q2
North,20364,Q4
North,24723,Q3
North,11399,Q4
East,42963,Q2
West,14580,Q4
South,47587,Q3
North,18733,Q3
North,26999,Q2
East,24645,Q3
East,18888,Q1
South,35989,Q1
North,25120,Q1
East,45695,Q2
East,16964,Q4
South,33096,Q4
West,27618,Q2
West,25634,Q1
South,44024,Q2
North,14438,Q1
West,43725,Q3
West,19188,Q4
North,28985,Q2
South,15600,Q2
West,13225,Q4
East,15784,Q4
North,23199,Q2
South,14561,Q1
West,40427,Q4
West,46329,Q2
North,24738,Q1
North,24575,Q1
West,49080,Q3
West,16112,Q3
East,25519,Q3
South,28472,Q3
North,39252,Q2
South,36930,Q1
West,39255,Q4
East,10328,Q3
North,36091,Q3
West,19461,Q1
North,20333,Q2
South,19011,Q2
South,30799,Q3
South,33555,Q2
East,30003,Q3
West,25626,Q1
South,40813,Q2
West,41593,Q2
East,49832,Q1
East,42760,Q4
West,12529,Q2
North,30191,Q3
South,31374,Q1
West,13852,Q3
East,42424,Q3
North,39894,Q3
North,43678,Q4
West,34087,Q2
East,28891,Q4
South,21525,Q1
East,43282,Q4
East,28213,Q2
West,18831,Q1
North,22790,Q3
South,11644,Q4
South,41252,Q3
West,25419,Q2
East,18111,Q1
South,31101,Q1
South,45797,Q4
East,37629,Q2
West,35463,Q2
East,30861,Q2
South,45582,Q4
North,46308,Q4
West,13248,Q3
South,25091,Q3
West,10906,Q3
East,20285,Q4
North,41222,Q3
West,10560,Q2
East,47001,Q1
East,42994,Q2
South,29561,Q3
South,11403,Q4
East,22477,Q4
South,40019,Q2
North,47843,Q1
South,47500,Q3
North,35930,Q2
East,28004,Q4
West,29433,Q4
East,28968,Q3
North,48418,Q2
West,46396,Q1
East,29155,Q4
West,13810,Q2
North,29559,Q3
South,32779,Q4
South,40772,Q4
South,10921,Q3
West,33996,Q2
East,35968,Q2
South,11103,Q4
South,43325,Q3
West,25002,Q4
West,30387,Q2
North,36387,Q1
East,49811,Q1
West,15640,Q4
West,40109,Q4
North,26663,Q2
North,44480,Q1
East,14657,Q1
North,27769,Q1
West,21847,Q4
East,10019,Q4
North,31253,Q3
North,22534,Q2
North,47961,Q2
South,31003,Q3
North,20669,Q2
East,42603,Q4
South,11233,Q4
East,13710,Q3
West,37842,Q3
North,29714,Q1
West,37849,Q3
North,11821,Q2
North,31930,Q1
South,26203,Q3
North,11319,Q4
West,31267,Q4
West,12133,Q4
South,35927,Q1
North,46249,Q3
West,34221,Q4
South,12183,Q3
South,21220,Q2
North,12305,Q2
East,13635,Q2
West,40094,Q1
East,19839,Q1
North,30953,Q3
West,20192,Q4
North,29292,Q2
South,42633,Q4
North,46960,Q2
East,29657,Q2
East,20157,Q2
North,34179,Q4
East,19596,Q2
East,30376,Q3
West,38227,Q2
East,16249,Q4
North,10227,Q3
East,27030,Q4
South,45575,Q4
South,26409,Q3
West,33383,Q2
East,17885,Q4
North,15843,Q2
East,39884,Q4
South,38886,Q2
East,16086,Q3
East,49296,Q1
West,25547,Q2
South,22360,Q1
West,44674,Q4
South,45898,Q4
East,40384,Q4
East,22725,Q4
West,17756,Q2
North,18236,Q2
West,15041,Q1
West,38811,Q2
North,43780,Q3
East,40026,Q2
South,37475,Q3
East,19275,Q1
North,36367,Q3
North,29162,Q4
West,10607,Q3
North,26961,Q2
West,44553,Q2
South,44168,Q1
West,41749,Q2
North,12190,Q3
North,20914,Q1
South,11914,Q3
East,15756,Q2
South,18746,Q2
West,49043,Q1
East,17993,Q2
East,22357,Q3
South,26749,Q1
South,12067,Q4
East,20252,Q4
West,19823,Q3
South,26641,Q3
South,46521,Q4
South,21621,Q4
West,42863,Q4
South,33028,Q1
South,31480,Q3
East,29733,Q4
East,18152,Q1
West,42486,Q1
South,44008,Q3
North,19397,Q1
South,12479,Q4
West,20412,Q3
West,24605,Q4
East,28578,Q1
South,30138,Q4
South,40796,Q3
South,43971,Q1
East,19361,Q1
South,40021,Q3
North,46893,Q3
East,10542,Q3
East,34533,Q3
North,13797,Q3
South,44983,Q2
West,44799,Q2
East,46126,Q3
West,36694,Q2
South,24649,Q2
North,27751,Q4
South,15857,Q1
South,26282,Q3
North,32557,Q3
North,48912,Q3
South,41312,Q3
East,42391,Q4
West,29299,Q2
East,40412,Q2
North,29622,Q3
West,12338,Q3
West,19473,Q2
East,12595,Q3
East,29682,Q3
West,39161,Q4
East,42966,Q4
North,31828,Q3
South,46453,Q4
West,21409,Q3
North,19168,Q1
West,39458,Q4
West,47315,Q1
West,23839,Q4
North,33881,Q1
East,11737,Q3
West,42666,Q3
North,36171,Q2
South,42572,Q4
North,37687,Q3
South,16955,Q2
South,46764,Q4
West,40528,Q2
East,11560,Q4
West,22390,Q3
East,27379,Q2
East,43552,Q3
South,31075,Q2
South,10657,Q2
North,44171,Q2
North,35345,Q3
South,34022,Q3
North,27139,Q2
North,16632,Q2
West,48074,Q4
South,33956,Q2
East,25849,Q2
East,29514,Q4
West,49471,Q3
West,19834,Q2
East,38876,Q1
North,34931,Q3
South,21341,Q2
South,11264,Q3
East,27383,Q4
West,48458,Q1
South,39632,Q3
East,18993,Q2
East,26698,Q2
West,35845,Q2
South,48277,Q1
West,29844,Q4
North,14048,Q2
North,45185,Q2
South,33910,Q1
East,29421,Q2
North,37992,Q2
East,11792,Q2
North,18431,Q3
East,13855,Q1
East,23877,Q1
West,18459,Q4
East,19345,Q2
East,19258,Q2
West,22822,Q2
North,41837,Q4
East,21535,Q1
West,46212,Q4
West,48157,Q3
North,33784,Q1
West,10658,Q2
North,43692,Q4
East,33794,Q3
North,44723,Q1
North,20571,Q3
West,41503,Q3
South,23360,Q2
North,23723,Q3
West,33958,Q1
West,45404,Q2
West,35916,Q3
South,43070,Q2
East,48162,Q2
South,24152,Q4
West,48439,Q4
South,36376,Q1
North,16973,Q4
North,16496,Q2
South,29647,Q4
West,31496,Q3
North,28141,Q4
South,46148,Q2
West,13027,Q4
East,17569,Q1
East,42990,Q3
East,25937,Q1
South,34851,Q3
East,44249,Q2
East,41930,Q4
North,42366,Q1
South,42902,Q3
North,48580,Q3
South,41735,Q4
East,32063,Q2
North,35751,Q1
East,44069,Q3
South,42892,Q4
South,19457,Q3
North,25222,Q4
South,12054,Q3
West,28769,Q3
South,19539,Q3
South,39698,Q2
North,24852,Q2
North,10061,Q4
South,43265,Q1
South,44733,Q2
West,24971,Q3
East,23752,Q4
North,49657,Q2
South,14610,Q1
East,23462,Q3
South,33652,Q2
East,49916,Q3
East,43714,Q3
East,21850,Q1
East,34235,Q1
North,47452,Q2
South,20727,Q1
West,30285,Q4
North,30176,Q4
West,24691,Q2
South,14962,Q4
East,13211,Q1
West,20782,Q1
North,37513,Q2
South,30856,Q1
East,31124,Q1
South,25766,Q1
South,19180,Q1
West,28853,Q2
North,30011,Q2
North,40104,Q4
South,43293,Q4
South,34761,Q1
South,23370,Q1
North,35008,Q3
East,23367,Q4
West,38172,Q3
South,45799,Q3
East,44385,Q3
West,12262,Q2
North,32746,Q2
North,13237,Q1
North,30889,Q3
South,18090,Q1
East,46915,Q4
North,40578,Q3
North,26013,Q4
East,41611,Q4
West,14538,Q1
West,17888,Q2
South,31317,Q4
West,23812,Q1
North,37864,Q2
West,39905,Q2
East,14104,Q2
West,33942,Q4
East,17989,Q2
South,49888,Q4
West,25089,Q3
East,11969,Q1
South,13249,Q2
North,33130,Q1
East,21234,Q4
West,12376,Q3
West,17607,Q2
North,40070,Q2
North,45623,Q1
East,30589,Q1
West,42982,Q4
East,31420,Q4
West,13892,Q3
North,28308,Q1
South,26762,Q3
North,33259,Q1
West,25698,Q1
East,13418,Q3
West,22478,Q2
North,45457,Q2
East,38121,Q3
South,13874,Q2
West,14821,Q4
South,30523,Q4
East,45070,Q2
North,16316,Q4
East,49657,Q2
East,37058,Q3
South,12607,Q3
North,22044,Q3
West,48031,Q1
South,20672,Q1
West,48178,Q2
East,31099,Q2
South,27938,Q4
South,15936,Q3
South,40311,Q4
East,49235,Q1
North,37210,Q4
North,43116,Q2
East,20933,Q4
West,12061,Q4
West,30176,Q1
North,21480,Q2
West,21453,Q2
North,26659,Q1
West,17704,Q1
North,37071,Q2
West,11239,Q2
West,41812,Q1
North,29714,Q2
East,13547,Q1
West,21358,Q1
East,19711,Q3
South,43784,Q3
East,37213,Q2
North,37516,Q2
South,49797,Q2
South,25654,Q1
West,18627,Q4
North,26733,Q3
North,35259,Q2
South,28522,Q2
West,46362,Q1
East,27804,Q4
South,36142,Q4
East,22263,Q1
North,42428,Q1
South,23862,Q2
South,29905,Q2
North,44145,Q4
East,49312,Q3
North,42456,Q2
West,21328,Q2
West,33488,Q2
East,35153,Q4
West,22711,Q4
West,26430,Q1
East,31070,Q4
North,22013,Q4
West,48915,Q2
North,27112,Q1
North,28131,Q1
South,24431,Q1
West,21343,Q3
North,33329,Q2
South,43886,Q1
South,17108,Q4
West,31861,Q2
North,43785,Q1
East,39516,Q1
North,48380,Q3
West,10569,Q3
North,34826,Q1
South,24520,Q3
South,12199,Q3
South,12715,Q4
North,46142,Q3
East,44543,Q3
South,39327,Q4
South,35930,Q3
South,20278,Q1
West,38929,Q1
East,44262,Q2
West,15401,Q4
North,14697,Q3
West,11114,Q4
West,11172,Q4
North,36948,Q4
West,28126,Q4
North,13799,Q3
North,34865,Q1
East,46380,Q1
North,43981,Q2
West,19789,Q2
South,46683,Q3
West,40165,Q1
North,17485,Q4
West,39959,Q3
East,22795,Q2
East,49020,Q2
South,15206,Q2
South,28370,Q1
North,31748,Q3
East,39467,Q4
North,27200,Q1
North,29690,Q4
West,25224,Q1
West,12345,Q3
West,37533,Q2
West,12415,Q1
East,23824,Q4
West,26577,Q1
South,41429,Q4
South,35718,Q4
North,16998,Q3
West,45676,Q4
North,44177,Q1
North,44735,Q1
East,22883,Q3
South,22207,Q3
East,34772,Q4
South,42866,Q4
North,18906,Q2
East,10590,Q4
East,24919,Q1
North,11663,Q2
North,41751,Q1
East,48874,Q2
North,20522,Q1
South,44806,Q2
East,13318,Q1
East,43690,Q1
East,45973,Q3
East,29643,Q1
South,27597,Q1
North,23438,Q4
East,39487,Q4
North,41406,Q4
North,34967,Q4
North,20358,Q1
West,34510,Q3
West,32951,Q4
East,15190,Q1
South,37330,Q4
North,14457,Q4
South,26190,Q1
North,45487,Q3
North,44963,Q1
West,13699,Q2
North,18671,Q4
West,46042,Q1
East,25510,Q1
West,34361,Q4
North,17594,Q2
South,10061,Q1
North,20807,Q1
South,37862,Q1
East,46138,Q1
East,40488,Q1
North,25713,Q3
East,20038,Q1
East,34443,Q2
South,13108,Q4
West,21433,Q4
North,34380,Q2
North,24337,Q1
North,13620,Q1
West,16784,Q1
South,45677,Q2
East,39530,Q2
East,35445,Q4
East,21276,Q2
North,28924,Q2
East,27392,Q2
North,39293,Q4
North,46696,Q1
East,34470,Q4
North,20584,Q2
West,45922,Q1
East,24627,Q2
South,28296,Q1
South,29944,Q4
East,41670,Q4
North,17983,Q1
South,28063,Q1
South,32201,Q2
West,35607,Q3
West,41408,Q2
West,28283,Q3
North,12792,Q2
East,17739,Q2
West,25265,Q2
West,34009,Q4
West,20198,Q1
South,10688,Q3
East,23623,Q4
North,32409,Q1
West,35859,Q3
South,13472,Q1
West,33248,Q1
East,10585,Q1
West,18416,Q2
West,21539,Q3
East,23028,Q1
North,45479,Q4
South,49271,Q4
North,11225,Q2
East,38758,Q4
East,24280,Q2
North,48691,Q1
North,39247,Q4
North,18685,Q4
North,49730,Q3
West,38440,Q2
South,10282,Q1
West,46644,Q2
East,45426,Q3
West,45877,Q2
South,46783,Q1
East,49383,Q3
West,12214,Q3
East,23888,Q1
North,43621,Q3
East,34486,Q2
West,28668,Q4
East,15671,Q4
North,25250,Q3
South,36953,Q4
East,35586,Q1
South,22587,Q4
South,14551,Q4
West,17257,Q3
West,39631,Q1
West,37858,Q1
South,46411,Q4
East,43010,Q1
West,16989,Q3
West,47941,Q3
East,30202,Q1
South,23316,Q3
South,44590,Q3
West,20560,Q3
West,13769,Q4
North,23207,Q1
South,38351,Q3
North,12674,Q1
North,21105,Q1
South,27577,Q1
North,31069,Q2
North,31943,Q2
East,12729,Q3
South,34084,Q4
North,20510,Q3
West,43892,Q3
South,11494,Q3
South,49781,Q2
North,14626,Q1
South,25367,Q4
East,39406,Q3
North,49874,Q4
West,20088,Q2
East,41265,Q1
West,27663,Q4
West,10313,Q3
East,49317,Q1
West,31358,Q2
East,32379,Q3
South,29145,Q2
North,30023,Q2
East,28493,Q4
North,25019,Q1
East,31463,Q3
West,42130,Q2
North,10536,Q4
North,40781,Q2
South,10086,Q3
South,49141,Q1
East,42490,Q2
North,37572,Q4
North,10600,Q2
South,35459,Q2
West,44019,Q2
West,47739,Q4
South,36809,Q2
North,22127,Q2
East,40215,Q3
South,35850,Q4
North,38169,Q3
South,47317,Q1
North,34542,Q3
North,20181,Q2
West,26351,Q4
South,21640,Q1
East,40209,Q3
East,10844,Q3
North,36158,Q2
West,25971,Q2
South,40224,Q3
North,36860,Q4
North,24519,Q1
West,47887,Q1
South,32529,Q4
North,18035,Q1
North,22377,Q2
East,23122,Q1
North,22117,Q3
North,21271,Q3
North,49108,Q2
West,15887,Q1
North,20520,Q2
West,49770,Q3
East,25111,Q2
North,11381,Q2
West,45583,Q2
South,29074,Q2
North,48818,Q1
West,42956,Q1
South,24699,Q4
North,13599,Q1
North,40650,Q3
North,14343,Q3
West,18014,Q1
West,20128,Q2
North,14309,Q1
East,17730,Q1
South,47258,Q3
South,42536,Q2
East,43455,Q1
South,28986,Q1
South,11839,Q1
East,27519,Q1
West,24819,Q2
South,25105,Q3
West,39374,Q2
North,15346,Q4
West,48912,Q1
South,33211,Q3
West,25896,Q3
South,18648,Q4
West,36323,Q4
South,13304,Q1
South,23405,Q1
South,29002,Q3
South,25928,Q2
South,37050,Q3
East,42449,Q3
North,29162,Q1
West,17966,Q1
West,35470,Q4
East,45185,Q1
East,43441,Q3
North,45557,Q2
East,19548,Q3
East,43314,Q3
East,13241,Q3
East,17509,Q3
East,15778,Q3
West,18561,Q2
East,24948,Q2
East,30147,Q3
South,16411,Q3
South,34082,Q1
South,31814,Q4
East,20619,Q2
West,17214,Q4
West,21889,Q3
East,24302,Q3
West,29175,Q3
West,31795,Q4
South,23451,Q1
South,29648,Q4
North,10581,Q2
South,42647,Q4
East,47938,Q4
South,27039,Q3
South,13833,Q1
North,43526,Q4
South,19446,Q2
East,24094,Q4
West,44087,Q3
South,34218,Q1
West,30533,Q4
North,25241,Q2
West,27593,Q1
North,42814,Q4
North,11247,Q3
East,49031,Q3
West,34236,Q4
North,20619,Q2
West,49222,Q1
East,46140,Q4
East,37513,Q4
East,21072,Q3
West,15327,Q1
South,11376,Q1
North,24655,Q2
West,33532,Q1
South,41232,Q2
South,18770,Q4
South,27609,Q4
East,33894,Q3
North,43004,Q1
East,39147,Q2
North,46316,Q4
North,33888,Q3
East,48886,Q2
West,29038,Q3
South,21050,Q1
West,47501,Q4
West,39992,Q1
South,49166,Q3
South,16219,Q1
East,49293,Q3
North,48931,Q3
North,48044,Q3
West,42628,Q1
North,17770,Q3
East,19296,Q3
East,44500,Q4
South,30693,Q2
South,49607,Q2
East,24641,Q4
East,33145,Q3
East,38005,Q1
West,16642,Q3
East,34699,Q1
South,20897,Q1
East,12911,Q1
South,28803,Q1
South,21913,Q4
North,43436,Q3
East,15837,Q1
North,15111,Q4
East,34731,Q3
North,16059,Q3
South,35979,Q4
West,41299,Q3
South,10234,Q1
South,33517,Q2
South,29342,Q3
West,25665,Q3
East,39424,Q4
East,49367,Q1
West,49766,Q1
West,24905,Q4
North,48387,Q2
West,15850,Q4
East,33090,Q3
East,28962,Q4
South,10181,Q3
East,21480,Q4
West,33453,Q2
North,33699,Q2
North,43545,Q2
South,34590,Q1
South,46973,Q4
North,29475,Q1
North,45679,Q2
East,25122,Q4
East,25562,Q2
South,36368,Q1
South,48236,Q1
North,17674,Q4
North,16360,Q3
North,30502,Q2
North,12657,Q1
East,22772,Q2
West,32187,Q2
South,26634,Q2
West,14459,Q3
South,17871,Q2
North,16816,Q1
West,26166,Q3
East,20762,Q2
East,28396,Q3
East,39786,Q3
West,45851,Q1
North,27269,Q2
North,40106,Q3
North,32625,Q1
South,46079,Q3
South,16751,Q3
East,45059,Q3
West,27224,Q1
South,22002,Q3
West,32026,Q3
West,27493,Q1
North,12007,Q4
North,36184,Q4
